City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,bethel,41.3712,-73.414,89.17,72,97,1.01,US,1623257730
114,kurilsk,45.2333,147.8833,41.68,91,0,2.3,RU,1623258121
115,makakilo city,21.3469,-158.0858,74.68,75,90,18.39,US,1623257756
116,lompoc,34.6391,-120.4579,71.56,72,2,10.0,US,1623257707
117,magadan,59.5667,150.8,39.38,94,91,4.88,RU,1623258122
118,la ronge,55.1001,-105.2842,53.85,76,90,11.5,CA,1623257830
119,manzhouli,49.6,117.4333,52.39,79,56,12.66,CN,1623258122
120,lucea,18.451,-78.1736,84.85,70,100,11.65,JM,1623258122
121,clyde river,70.4692,-68.5914,41.23,70,20,25.32,CA,1623257758
122,khatanga,71.9667,102.5,42.94,59,19,7.87,RU,1623257698
123,ulaanbaatar,47.9077,106.8832,44.73,81,0,3.94,MN,1623258123
124,narsaq,60.9167,-46.05,47.23,60,4,8.95,GL,1623257770
125,cidreira,-30.1811,-50.2056,63.91,93,100,18.43,BR,1623257767
126,katsuura,35.1333,140.3,72.1,89,0,6.02,JP,1623257690
127,bella union,-30.2752,-57.6007,64.8,73,67,6.31,UY,1623258123
128,camocim,-2.9022,-40.8411,83.03,75,54,12.15,BR,1623258124
129,jamestown,42.097,-79.2353,82.09,65,20,6.91,US,1623257430
130,jiaohe,43.7286,127.3447,62.53,91,95,2.51,CN,1623258124
131,kaitangata,-46.2817,169.8464,50.94,82,97,6.71,NZ,1623257716
132,andros town,24.7,-77.7667,81.66,69,59,14.54,BS,1623258124
133,port elizabeth,-33.918,25.5701,61.11,82,0,4.61,ZA,1623257785
134,sri aman,1.2376,111.4621,73.58,99,80,0.51,MY,1623258125
135,fallon,39.4735,-118.7774,63.45,27,43,6.04,US,1623258125
136,longyearbyen,78.2186,15.6401,37.24,87,90,6.91,SJ,1623257776
137,vila do maio,15.1333,-23.2167,74.05,86,30,13.38,CV,1623258126
138,mungwi,-10.1732,31.3694,65.12,60,32,7.38,ZM,1623258126
139,rabo de peixe,37.8,-25.5833,69.31,78,40,9.75,PT,1623258126
140,yulara,-25.2406,130.9889,42.78,50,99,7.52,AU,1623258126
141,verkhnevilyuysk,63.4453,120.3167,40.1,82,1,3.67,RU,1623257829
142,saskylakh,71.9167,114.0833,40.21,58,96,7.34,RU,1623257731
143,kerouane,9.2667,-9.0167,84.33,58,95,5.7,GN,1623258127
144,mao,39.8885,4.2658,81.16,47,0,6.91,ES,1623258127
145,najran,17.4924,44.1277,95.65,12,7,5.19,SA,1623257724
146,zabaykalsk,49.6333,117.3167,52.07,80,55,13.33,RU,1623258127
147,kirakira,-10.4544,161.9205,80.13,82,75,7.63,SB,1623257823
148,saldanha,-33.0117,17.9442,64.45,83,0,10.58,ZA,1623257817
149,doha,25.2867,51.5333,98.58,18,0,16.11,QA,1623257883
150,nuuk,64.1835,-51.7216,45.88,75,76,5.99,GL,1623257771
151,tessalit,20.1986,1.0114,108.99,6,4,16.58,ML,1623257776
152,torbay,47.6666,-52.7314,56.28,66,40,9.22,CA,1623257797
153,fortuna,40.5982,-124.1573,58.98,71,1,1.99,US,1623257734
154,nampula,-15.1165,39.2666,66.83,67,59,3.06,MZ,1623258128
155,sur,22.5667,59.5289,89.53,66,3,12.46,OM,1623258128
156,port alfred,-33.5906,26.891,64.78,73,20,4.29,ZA,1623257692
157,zapolyarnyy,69.4154,30.8136,58.28,54,88,8.95,RU,1623258129
